firm_id,name,name_ja,sector,size_class,employees,machi,x,y,founded,revenue_myen
65,Shin Trading,新商店,wholesale_retail,micro,2,hikari-01,-1577.9,258.2,1979,42.7
66,NishiShima Trading,西商店,wholesale_retail,micro,1,hikari-01,-1093.6,-428.3,1992,27.4
67,Kurenai Trading,紅商店,wholesale_retail,micro,1,hikari-01,-1626.3,79.2,2001,29.9
68,Shiro Trading,白商店,wholesale_retail,micro,1,hikari-01,-1506.3,-935.7,1973,22.5
69,Kita Trading,北商店,wholesale_retail,micro,1,hikari-01,-1932.3,-3.7,1994,21.6
70,TakeNishi Trading,竹商店,wholesale_retail,micro,3,hikari-01,-1496.0,-299.1,1996,82.1
71,Nishi Trading,西商店,wholesale_retail,micro,1,hikari-01,-1393.9,106.9,1993,18.6
72,Kurenai Trading,紅商店,wholesale_retail,micro,3,hikari-01,-1610.1,102.2,2007,75.5
73,Midori Trading,緑商店,wholesale_retail,medium,16,hikari-01,-1657.5,-65.6,1992,388.4
74,Hon Trading,本商店,wholesale_retail,medium,14,hikari-01,-1903.1,-324.3,2010,378.7
75,Haru Trading,春商店,wholesale_retail,micro,1,hikari-01,-1877.3,-341.9,1980,27.9
76,Asa Trading,朝商店,wholesale_retail,micro,1,hikari-01,-1835.0,380.5,1973,28.5
77,Hon Trading,本商店,wholesale_retail,micro,1,hikari-01,-1577.5,268.2,1989,22.5
78,Ko Trading,小商店,wholesale_retail,micro,1,hikari-01,-1332.9,-422.1,1990,27.9
79,KitaHikari Trading,鍛商店,wholesale_retail,micro,1,hikari-01,-1650.1,-169.4,1984,21.8
80,Soto Trading,外商店,wholesale_retail,micro,1,hikari-01,-1543.3,-559.3,2008,20.4
81,Minami Trading,南商店,wholesale_retail,small,7,hikari-01,-1366.5,80.8,1993,203.9
82,Haru Trading,春商店,wholesale_retail,micro,1,hikari-01,-1248.2,-299.4,2023,30.9
83,Kurenai Trading,紅商店,wholesale_retail,micro,2,hikari-01,-1344.5,-571.5,1940,49.1
84,IshiTani Trading,石商店,wholesale_retail,medium,23,hikari-01,-1767.0,-354.0,1975,496.0
85,SakaKami Trading,坂商店,wholesale_retail,micro,4,hikari-01,-1528.9,-542.8,2018,121.7
86,Ko Trading,小商店,wholesale_retail,large,146,hikari-01,-1659.5,546.2,1973,3877.9
87,Shimo Trading,下商店,wholesale_retail,micro,1,hikari-01,-1817.1,516.2,1971,26.4
88,IkariKura Trading,錨商店,wholesale_retail,small,7,hikari-01,-1120.5,214.1,1994,178.3
89,FuruMinato Trading,古商店,wholesale_retail,micro,1,hikari-01,-1319.9,-205.9,1973,25.0
90,Yū Trading,夕商店,wholesale_retail,large,56,hikari-01,-1197.1,-261.7,1997,1720.2
91,HikariHoshi Trading,光商店,wholesale_retail,micro,1,hikari-01,-1395.5,313.7,1990,20.5
92,SunaAo Trading,砂商店,wholesale_retail,micro,1,hikari-01,-1754.6,383.9,1994,26.5
93,Ko Trading,小商店,wholesale_retail,micro,1,hikari-01,-1738.6,26.9,1983,21.9
94,Ō Trading,大商店,wholesale_retail,micro,2,hikari-01,-1918.0,-109.5,2032,51.6
95,HigashiTsuki Trading,東商店,wholesale_retail,small,5,hikari-01,-1437.3,535.0,1981,111.9
96,Kami Trading,上商店,wholesale_retail,micro,3,hikari-01,-1563.5,-125.4,1979,65.6
97,Minami Trading,南商店,wholesale_retail,micro,1,hikari-01,-1173.4,-447.9,1951,24.0
98,YoiYama Trading,宵商店,wholesale_retail,micro,2,hikari-01,-1861.1,228.6,1962,39.8
99,Shimo Trading,下商店,wholesale_retail,micro,4,hikari-01,-1754.6,-498.0,1940,113.6
100,KitaSuzu Trading,北商店,wholesale_retail,medium,18,hikari-01,-1373.3,316.9,1981,481.3
101,Hon Trading,本商店,wholesale_retail,micro,1,hikari-01,-1449.9,460.0,1973,21.2
102,Higashi Trading,東商店,wholesale_retail,micro,1,hikari-01,-1805.7,-383.2,1975,29.1
103,Hon Trading,本商店,wholesale_retail,large,85,hikari-01,-1428.2,-51.2,2016,2465.3
104,NakaUmi Trading,中商店,wholesale_retail,micro,1,hikari-01,-1448.7,-368.0,2019,28.3
105,TakeNaga Trading,竹商店,wholesale_retail,micro,1,hikari-01,-1315.6,186.3,1956,27.5
106,YoiTen Trading,宵商店,wholesale_retail,medium,13,hikari-01,-1675.5,69.9,1988,265.9
107,Naka Trading,中商店,wholesale_retail,micro,1,hikari-01,-1568.4,-145.2,1977,19.4
108,NamiAkebono Trading,波商店,wholesale_retail,micro,1,hikari-01,-1329.2,-314.3,1962,23.4
109,Shin Trading,新商店,wholesale_retail,micro,2,hikari-01,-1775.6,-165.2,2005,51.0
110,Shin Trading,新商店,wholesale_retail,micro,3,hikari-01,-998.8,-411.6,2005,77.3
111,KumoNaga Trading,雲商店,wholesale_retail,micro,4,hikari-01,-2034.2,-161.8,1972,107.0
112,Shiro Trading,白商店,wholesale_retail,small,9,hikari-01,-1467.2,-472.0,1957,247.9
113,Kita Trading,北商店,wholesale_retail,small,6,hikari-01,-2032.0,-387.8,2032,115.9
114,Minami Trading,南商店,wholesale_retail,medium,17,hikari-01,-1652.7,-870.9,1974,343.0
115,NakaShiro Trading,中商店,wholesale_retail,small,9,hikari-01,-1535.4,124.7,1957,279.3
116,Higashi Trading,東商店,wholesale_retail,micro,3,hikari-01,-1125.3,-34.2,1986,65.7
117,TetsuTsuki Trading,鉄商店,wholesale_retail,small,5,hikari-01,-1656.8,-200.2,1989,104.0
118,HigashiHoshi Trading,東商店,wholesale_retail,medium,46,hikari-01,-2013.2,20.1,2008,1081.4
119,Ō Trading,大商店,wholesale_retail,micro,2,hikari-01,-1624.0,-864.7,1995,40.0
120,Ao Trading,青商店,wholesale_retail,large,66,hikari-01,-2074.6,-422.2,2013,1840.0
121,Minami Trading,南商店,wholesale_retail,micro,4,hikari-01,-1131.4,-189.3,2026,117.1
122,Haru Trading,春商店,wholesale_retail,micro,1,hikari-01,-1532.8,420.5,1990,18.8
123,AoNaka Trading,青商店,wholesale_retail,medium,13,hikari-01,-2012.9,-472.6,1967,250.3
124,Haru Trading,春商店,wholesale_retail,micro,1,hikari-01,-1508.6,51.6,1970,27.7
125,Kami Trading,上商店,wholesale_retail,small,7,hikari-01,-1498.6,-13.2,1963,197.6
126,Kurenai Trading,紅商店,wholesale_retail,medium,13,hikari-01,-1427.9,-589.9,2015,319.1
127,Ko Trading,小商店,wholesale_retail,micro,2,hikari-01,-1764.8,298.5,1976,55.6
128,Shimo Trading,下商店,wholesale_retail,micro,1,hikari-01,-1808.4,-555.3,2015,27.5
129,Shimo Trading,下商店,wholesale_retail,small,9,hikari-01,-1300.5,151.2,1984,235.7
130,Kami Trading,上商店,wholesale_retail,micro,1,hikari-01,-948.4,-142.0,2027,21.0
131,Hon Trading,本商店,wholesale_retail,medium,28,hikari-01,-1276.2,403.0,1996,620.1
132,Midori Trading,緑商店,wholesale_retail,large,212,hikari-01,-1702.6,-717.1,1991,4331.1
133,Higashi Trading,東商店,wholesale_retail,micro,2,hikari-01,-2146.3,-230.8,1977,36.7
134,Hon Trading,本商店,wholesale_retail,small,9,hikari-01,-1614.7,-815.7,1990,283.1
135,Shimo Trading,下商店,wholesale_retail,micro,3,hikari-01,-1583.1,-22.6,2010,83.5
136,Aki Trading,秋商店,wholesale_retail,medium,25,hikari-01,-1857.5,-791.7,1999,498.1
137,Asa Trading,朝商店,wholesale_retail,micro,2,hikari-01,-1269.9,136.5,1985,45.9
138,Nishi Trading,西商店,wholesale_retail,micro,2,hikari-01,-1520.0,-98.3,1992,49.5
139,Haru Trading,春商店,wholesale_retail,medium,23,hikari-01,-1608.5,-11.2,2000,423.2
140,Naka Trading,中商店,wholesale_retail,micro,2,hikari-01,-1177.4,284.0,1967,47.9
141,Asa Trading,朝商店,wholesale_retail,micro,1,hikari-01,-1980.0,46.8,1971,24.7
142,Kita Trading,北商店,wholesale_retail,micro,2,hikari-01,-1208.9,4.2,1953,62.1
143,Hon Trading,本商店,wholesale_retail,micro,1,hikari-01,-949.6,-226.9,1982,23.8
144,Kami Trading,上商店,wholesale_retail,micro,1,hikari-01,-1579.9,295.7,1964,27.2
145,Shiro Trading,白商店,wholesale_retail,medium,30,hikari-01,-1773.8,-785.6,1970,872.4
146,KumoNaka Trading,雲商店,wholesale_retail,micro,2,hikari-01,-2021.7,-7.2,1985,57.7
147,YoiHara Trading,宵商店,wholesale_retail,medium,14,hikari-01,-1493.7,445.2,1955,429.1
148,HigashiTani Trading,東商店,wholesale_retail,micro,3,hikari-01,-1394.3,491.7,1998,83.3
149,Midori Trading,緑商店,wholesale_retail,small,8,hikari-01,-1842.0,-729.9,1971,210.3
150,Ao Trading,青商店,wholesale_retail,micro,4,hikari-01,-1480.0,565.6,1968,85.5
151,IkariAkebono Trading,錨商店,wholesale_retail,micro,2,hikari-01,-1554.9,-533.6,1963,57.3
152,Kita Trading,北商店,wholesale_retail,micro,2,hikari-01,-2118.5,-292.2,2003,46.6
153,Soto Trading,外商店,wholesale_retail,micro,1,hikari-01,-1761.0,-429.0,1993,27.9
154,Ao Trading,青商店,wholesale_retail,micro,1,hikari-01,-1700.2,-934.2,2002,23.2
155,Soto Trading,外商店,wholesale_retail,micro,1,hikari-01,-1902.2,-21.2,1979,25.6
156,Nishi Trading,西商店,wholesale_retail,micro,2,hikari-01,-1501.3,-98.0,1942,44.5
157,Minami Trading,南商店,wholesale_retail,small,6,hikari-01,-1320.8,-367.2,1980,123.4
158,Naka Trading,中商店,wholesale_retail,micro,1,hikari-01,-1532.4,377.0,1994,31.0
159,Kurenai Trading,紅商店,wholesale_retail,small,6,hikari-01,-1657.4,29.3,2012,118.5
160,Soto Trading,外商店,wholesale_retail,micro,1,hikari-01,-1501.3,-98.0,1953,21.3
161,Asa Trading,朝商店,wholesale_retail,major,333,hikari-01,-1623.9,-468.5,1982,7056.4
162,MatsuHikari Care,松福祉,healthcare_welfare,medium,37,hikari-01,-1173.2,-102.6,2018,510.7
163,Kami Care,上福祉,healthcare_welfare,medium,12,hikari-01,-1930.3,-623.2,1989,189.5
164,Yū Care,夕福祉,healthcare_welfare,micro,4,hikari-01,-1989.8,68.7,2009,60.3
165,Nishi Care,西福祉,healthcare_welfare,micro,1,hikari-01,-1846.7,-815.2,1970,17.0
166,Soto Care,外福祉,healthcare_welfare,micro,1,hikari-01,-1682.7,210.6,1977,14.1
167,Hon Care,本福祉,healthcare_welfare,small,9,hikari-01,-1807.4,276.6,2002,143.4
168,TaniMinami Care,谷福祉,healthcare_welfare,micro,4,hikari-01,-2063.6,-16.2,1992,67.7
169,Hon Care,本福祉,healthcare_welfare,medium,13,hikari-01,-1506.9,-415.9,2022,246.9
170,Kami Care,上福祉,healthcare_welfare,micro,2,hikari-01,-1576.5,-184.6,1982,24.5
171,Shimo Care,下福祉,healthcare_welfare,major,356,hikari-01,-1311.1,-330.9,2003,7450.0
172,TakeTaka Trading,竹商店,wholesale_retail,medium,14,hikari-01,-1291.3,271.3,1987,285.2
173,Kita Trading,北商店,wholesale_retail,micro,1,hikari-01,-1718.6,-556.4,1997,28.4
174,Nishi Trading,西商店,wholesale_retail,micro,3,hikari-01,-1159.1,256.4,1989,93.3
175,AmeMiya Trading,雨商店,wholesale_retail,micro,3,hikari-01,-1191.7,279.5,1956,60.5
176,Kurenai Trading,紅商店,wholesale_retail,small,8,hikari-01,-1101.9,87.7,2005,154.0
177,TsuruAka Trading,鶴商店,wholesale_retail,micro,1,hikari-01,-1652.7,-870.9,1998,31.0
178,Shiro Trading,白商店,wholesale_retail,micro,1,hikari-01,-1860.5,-570.9,1985,25.9
179,Nishi Trading,西商店,wholesale_retail,micro,1,hikari-01,-1334.8,-370.4,1916,31.0
180,Asa Trading,朝商店,wholesale_retail,micro,1,hikari-01,-1540.8,-821.0,1984,20.1
181,TakeNaka Trading,竹商店,wholesale_retail,small,5,hikari-01,-1466.5,552.0,1980,124.9
182,Ō Trading,大商店,wholesale_retail,micro,2,hikari-01,-1697.7,-464.2,1990,45.4
183,Yū Trading,夕商店,wholesale_retail,micro,2,hikari-01,-1285.2,16.5,1946,62.3
184,Ao Trading,青商店,wholesale_retail,micro,1,hikari-01,-1815.3,348.9,1976,30.0
185,Naka Trading,中商店,wholesale_retail,micro,2,hikari-01,-1775.7,-858.6,1997,48.7
186,Aki Trading,秋商店,wholesale_retail,small,8,hikari-01,-1799.5,-727.4,2002,172.5
187,Midori Trading,緑商店,wholesale_retail,micro,2,hikari-01,-1387.2,-305.9,2006,56.5
188,KawaTaka Trading,川商店,wholesale_retail,small,6,hikari-01,-1898.6,-830.1,2024,118.7
189,Yū Trading,夕商店,wholesale_retail,medium,32,hikari-01,-1576.5,-184.6,2004,732.1
190,Naka Trading,中商店,wholesale_retail,micro,1,hikari-01,-1624.0,-864.7,1983,19.9
191,ShiroKi Trading,白商店,wholesale_retail,micro,2,hikari-01,-1681.3,-426.2,2000,56.8
192,FuruTsuru Trading,古商店,wholesale_retail,medium,11,hikari-01,-1963.0,84.3,1980,239.9
193,Kami Trading,上商店,wholesale_retail,small,5,hikari-01,-1873.9,-825.9,1999,150.4
194,Kita Trading,北商店,wholesale_retail,micro,1,hikari-01,-2166.7,-221.5,1965,24.5
195,Kita Trading,北商店,wholesale_retail,large,63,hikari-01,-1888.5,-881.0,1961,1352.7
196,Shiro Trading,白商店,wholesale_retail,micro,2,hikari-01,-1390.4,36.5,1966,45.4
197,Nishi Trading,西商店,wholesale_retail,micro,4,hikari-01,-1754.6,-498.0,1994,108.2
198,Shin Care,新福祉,healthcare_welfare,small,6,hikari-01,-1119.5,-521.4,2001,95.6
199,KumoMatsu Trading,雲商店,wholesale_retail,small,6,hikari-01,-1709.1,-531.3,2014,119.4
200,Aki Care,秋福祉,healthcare_welfare,micro,2,hikari-01,-2005.6,-586.7,2005,31.1
201,Haru Care,春福祉,healthcare_welfare,medium,28,hikari-01,-1508.4,-791.3,2032,394.6
202,Shimo Trading,下商店,wholesale_retail,micro,1,hikari-01,-1526.1,-429.1,1986,24.7
203,Haru Trading,春商店,wholesale_retail,small,7,hikari-01,-1728.7,-308.8,1952,156.7
204,Asa Trading,朝商店,wholesale_retail,medium,20,hikari-01,-1149.4,-518.3,2032,383.0
205,MinamiIshi Care,南福祉,healthcare_welfare,small,5,hikari-01,-1577.5,268.2,2018,76.7
206,Shimo Trading,下商店,wholesale_retail,micro,1,hikari-01,-1810.7,-764.6,1979,28.6
207,Minami Trading,南商店,wholesale_retail,micro,1,hikari-01,-1568.0,338.1,2009,27.5
208,AkebonoShiro Trading,曙商店,wholesale_retail,micro,1,hikari-01,-1818.5,-194.8,1986,22.9
209,Kami Trading,上商店,wholesale_retail,small,5,hikari-01,-1669.1,-83.9,1983,125.0
210,Yū Care,夕福祉,healthcare_welfare,micro,1,hikari-01,-1035.8,-248.2,1990,19.8
211,Ko Care,小福祉,healthcare_welfare,small,8,hikari-01,-1743.4,90.0,1961,109.9
212,Shiro Trading,白商店,wholesale_retail,micro,1,hikari-01,-1840.7,164.8,1977,19.5
213,Kami Trading,上商店,wholesale_retail,micro,1,hikari-01,-1279.2,-503.4,1986,20.0
214,Ō Trading,大商店,wholesale_retail,micro,4,hikari-01,-1622.2,552.6,1992,107.7
215,Kurenai Care,紅福祉,healthcare_welfare,micro,1,hikari-01,-2132.8,-255.6,2032,15.5
216,Aki Care,秋福祉,healthcare_welfare,micro,4,hikari-01,-1314.7,-37.9,1974,80.3
217,Shiro Trading,白商店,wholesale_retail,medium,33,hikari-01,-1493.8,-625.6,2028,663.0
218,YoiSakura Care,宵福祉,healthcare_welfare,micro,3,hikari-01,-1310.9,-138.7,1988,51.2
219,Kurenai Care,紅福祉,healthcare_welfare,micro,2,hikari-01,-1817.2,308.7,2009,38.4
220,Shin Care,新福祉,healthcare_welfare,medium,19,hikari-01,-1101.7,-165.1,1988,233.7
221,Ko Care,小福祉,healthcare_welfare,micro,2,hikari-01,-1715.9,-370.6,2007,31.7
222,Ao Care,青福祉,healthcare_welfare,micro,1,hikari-01,-1552.4,339.5,1977,14.0
223,Midori Care,緑福祉,healthcare_welfare,medium,23,hikari-01,-1385.9,-453.6,1988,376.4
224,Kami Trading,上商店,wholesale_retail,small,7,hikari-01,-1520.3,169.0,1974,170.0
225,Ō Trading,大商店,wholesale_retail,medium,17,hikari-01,-1395.0,196.6,1997,499.9
226,Asa Care,朝福祉,healthcare_welfare,medium,16,hikari-01,-1801.0,-833.8,1999,208.7
227,Minami Trading,南商店,wholesale_retail,micro,1,hikari-01,-1173.2,-102.6,1990,25.2
228,Higashi Trading,東商店,wholesale_retail,micro,1,hikari-01,-1560.5,-900.7,2002,23.9
229,Shin Trading,新商店,wholesale_retail,micro,4,hikari-01,-1453.1,-155.0,1960,88.8
230,Kita Trading,北商店,wholesale_retail,micro,1,hikari-01,-1288.4,103.0,1983,29.3
231,Yū Trading,夕商店,wholesale_retail,micro,1,hikari-01,-1403.9,150.0,2003,24.6
232,Shiro Trading,白商店,wholesale_retail,medium,39,hikari-01,-1656.6,284.8,1967,875.1
233,Kami Care,上福祉,healthcare_welfare,micro,1,hikari-01,-1638.4,-469.1,2027,20.5
234,Ō Care,大福祉,healthcare_welfare,medium,19,hikari-01,-1221.4,-511.1,1999,351.9
235,Shiro Care,白福祉,healthcare_welfare,micro,1,hikari-01,-1525.5,215.3,2002,18.0
236,Nishi Care,西福祉,healthcare_welfare,medium,13,hikari-01,-1564.7,-688.4,1982,220.4
237,Soto Care,外福祉,healthcare_welfare,micro,1,hikari-01,-1501.2,240.0,2001,18.7
238,MinatoShio Trading,港商店,wholesale_retail,small,8,hikari-01,-1763.9,-233.0,2006,234.2
239,Aki Care,秋福祉,healthcare_welfare,micro,3,hikari-01,-1885.1,227.1,1991,37.7
240,Kami Care,上福祉,healthcare_welfare,micro,1,hikari-01,-1309.5,58.2,1963,17.5
241,Naka Care,中福祉,healthcare_welfare,small,9,hikari-01,-1626.2,331.9,2000,152.5
242,Kurenai Trading,紅商店,wholesale_retail,micro,1,hikari-01,-1115.2,-398.2,1958,19.8
243,Higashi Trading,東商店,wholesale_retail,small,6,hikari-01,-1964.4,-319.4,1992,133.7
244,Haru Care,春福祉,healthcare_welfare,small,7,hikari-01,-1708.6,235.1,1990,128.8
245,Shiro Trading,白商店,wholesale_retail,medium,12,hikari-01,-1891.4,256.4,1971,348.6
246,Higashi Care,東福祉,healthcare_welfare,micro,2,hikari-01,-1463.8,-453.8,1954,28.0
247,Nishi Care,西福祉,healthcare_welfare,small,9,hikari-01,-1994.4,-481.5,1966,140.0
248,Nishi Trading,西商店,wholesale_retail,small,5,hikari-01,-1685.4,526.6,2032,112.9
249,Minami Care,南福祉,healthcare_welfare,micro,2,hikari-01,-1421.2,-229.3,1988,27.9
250,HoshiSaka Trading,星商店,wholesale_retail,micro,1,hikari-01,-1261.5,-39.0,2021,28.7
251,Haru Trading,春商店,wholesale_retail,micro,1,hikari-01,-1549.6,-944.2,2018,28.1
252,TsuruMatsu Care,鶴福祉,healthcare_welfare,small,7,hikari-01,-1605.5,267.9,1978,129.2
253,Minami Trading,南商店,wholesale_retail,medium,23,hikari-01,-1862.0,204.1,2002,610.0
254,Kami Care,上福祉,healthcare_welfare,micro,2,hikari-01,-1366.3,-511.4,1972,39.4
255,MiyaAkebono Care,宮福祉,healthcare_welfare,medium,11,hikari-01,-1362.4,-270.7,1960,175.7
256,Nishi Care,西福祉,healthcare_welfare,micro,1,hikari-01,-1408.3,252.8,2026,12.3
257,SuzuKumo Care,鈴福祉,healthcare_welfare,micro,1,hikari-01,-1131.4,-189.3,2005,14.4
258,MinamiHoshi Care,南福祉,healthcare_welfare,micro,4,hikari-01,-1900.6,98.3,1985,82.7
259,Nishi Trading,西商店,wholesale_retail,small,8,hikari-01,-1581.1,533.7,1985,217.4
260,Kita Care,北福祉,healthcare_welfare,medium,25,hikari-01,-1143.2,239.1,1981,374.8
261,NagaShio Trading,長商店,wholesale_retail,medium,19,hikari-01,-1880.8,-39.4,1981,437.1
262,BashiYoi Consulting,橋事務所,professional,micro,2,hikari-01,-1681.4,427.1,1994,46.1
263,Ao Trading,青商店,wholesale_retail,small,7,hikari-01,-1378.4,-193.7,1989,155.2
264,YoiTake Care,宵福祉,healthcare_welfare,medium,22,hikari-01,-1759.9,-870.3,1977,458.1
265,TeraShiro Consulting,寺事務所,professional,micro,3,hikari-01,-956.7,-195.6,1989,59.7
266,Midori Consulting,緑事務所,professional,small,8,hikari-01,-1202.2,-544.8,2032,208.9
267,YoiHoshi Trading,宵商店,wholesale_retail,micro,3,hikari-01,-2017.0,-38.8,1988,89.0
268,NagaKura Trading,長商店,wholesale_retail,micro,2,hikari-01,-1716.4,-626.6,1972,60.2
269,Ko Consulting,小事務所,professional,medium,15,hikari-01,-1456.2,51.2,2006,322.6
270,Ō Trading,大商店,wholesale_retail,micro,1,hikari-01,-1375.4,442.0,1975,25.6
271,Higashi Trading,東商店,wholesale_retail,micro,1,hikari-01,-1283.5,-167.6,1993,23.1
272,Aki Trading,秋商店,wholesale_retail,micro,2,hikari-01,-1754.1,-291.6,2028,46.3
