origin_machi,dest_machi,trips,origin_name,dest_name
hikari-03,hikari-01,1717.01,Higashi-YamaNaga-machi,TaniUmi-machi
minami-06,hikari-06,1716.02,Kurenai-MinatoKura-machi,Shin-NakaSuna-machi
naka-08,naka-05,1657.32,Yū-HigashiAo-machi,AkebonoMiya-machi
naka-03,hikari-06,1657.01,KamiSuzu-machi,Shin-NakaSuna-machi
higashi-03,hikari-06,1625.93,Yū-HikariTani-machi,Shin-NakaSuna-machi
minami-08,hikari-06,1617.05,BashiHikari-machi,Shin-NakaSuna-machi
hikari-07,hikari-01,1594.94,Shin-TsukiNami-machi,TaniUmi-machi
hikari-08,hikari-07,1584.97,Hon-MiyaWa-machi,Shin-TsukiNami-machi
hikari-02,hikari-04,1533.55,Ō-KitaTani-machi,Higashi-TakeTera-machi
tsukimachi-04,hikari-03,1528.88,Kurenai-HikariKura-machi,Higashi-YamaNaga-machi
naka-10,hikari-06,1528.14,Higashi-NamiShio-machi,Shin-NakaSuna-machi
hikari-02,hikari-05,1495.95,Ō-KitaTani-machi,Ko-WaAkebono-machi
hikari-09,hikari-07,1491.2,MinamiAshi-machi,Shin-TsukiNami-machi
minami-08,hikari-07,1476.99,BashiHikari-machi,Shin-TsukiNami-machi
naka-07,naka-05,1475.71,Shiro-ShioSaka-machi,AkebonoMiya-machi
hikari-01,hikari-04,1460.77,TaniUmi-machi,Higashi-TakeTera-machi
tetsuba-04,hikari-07,1451.53,Ao-IshiIkari-machi,Shin-TsukiNami-machi
naka-07,hikari-06,1444.39,Shiro-ShioSaka-machi,Shin-NakaSuna-machi
hikari-07,hikari-05,1415.77,Shin-TsukiNami-machi,Ko-WaAkebono-machi
hikari-08,hikari-06,1410.8,Hon-MiyaWa-machi,Shin-NakaSuna-machi
minami-05,hikari-06,1410.5,Yū-BashiAka-machi,Shin-NakaSuna-machi
higashi-02,hikari-07,1381.71,NishiMiya-machi,Shin-TsukiNami-machi
hikari-01,hikari-07,1341.53,TaniUmi-machi,Shin-TsukiNami-machi
hikari-05,hikari-02,1328.6,Ko-WaAkebono-machi,Ō-KitaTani-machi
naka-10,hikari-02,1319.98,Higashi-NamiShio-machi,Ō-KitaTani-machi
naka-08,hikari-01,1293.33,Yū-HigashiAo-machi,TaniUmi-machi
minato_kita-04,hikari-06,1274.75,Ao-KawaYama-machi,Shin-NakaSuna-machi
minami-05,hikari-07,1271.91,Yū-BashiAka-machi,Shin-TsukiNami-machi
hikari-03,hikari-05,1258.53,Higashi-YamaNaga-machi,Ko-WaAkebono-machi
naka-10,hikari-05,1252.31,Higashi-NamiShio-machi,Ko-WaAkebono-machi
hikari-04,hikari-07,1240.91,Higashi-TakeTera-machi,Shin-TsukiNami-machi
hikari-07,naka-05,1236.67,Shin-TsukiNami-machi,AkebonoMiya-machi
naka-08,hikari-06,1235.0,Yū-HigashiAo-machi,Shin-NakaSuna-machi
hikari-04,hikari-03,1233.22,Higashi-TakeTera-machi,Higashi-YamaNaga-machi
hikari-06,hikari-01,1221.86,Shin-NakaSuna-machi,TaniUmi-machi
nishi-06,hikari-01,1208.35,Haru-KitaBashi-machi,TaniUmi-machi
nishi-06,hikari-03,1200.58,Haru-KitaBashi-machi,Higashi-YamaNaga-machi
higashi-01,hikari-09,1191.75,Kita-FuruTsuki-machi,MinamiAshi-machi
minami-01,hikari-06,1173.69,Midori-IshiShiro-machi,Shin-NakaSuna-machi
hikari-04,hikari-02,1172.87,Higashi-TakeTera-machi,Ō-KitaTani-machi
hikari-03,hikari-02,1168.56,Higashi-YamaNaga-machi,Ō-KitaTani-machi
hikari-01,hikari-05,1159.33,TaniUmi-machi,Ko-WaAkebono-machi
minami-01,hikari-07,1147.68,Midori-IshiShiro-machi,Shin-TsukiNami-machi
hikari-05,hikari-04,1145.37,Ko-WaAkebono-machi,Higashi-TakeTera-machi
minato_kita-04,hikari-07,1112.84,Ao-KawaYama-machi,Shin-TsukiNami-machi
hikari-03,naka-05,1100.98,Higashi-YamaNaga-machi,AkebonoMiya-machi
rural_south-04,hikari-01,1094.07,Shiro-AoKita-machi,TaniUmi-machi
hikari-07,hikari-04,1089.16,Shin-TsukiNami-machi,Higashi-TakeTera-machi
naka-07,hikari-01,1085.16,Shiro-ShioSaka-machi,TaniUmi-machi
naka-08,hikari-02,1076.05,Yū-HigashiAo-machi,Ō-KitaTani-machi
naka-03,naka-05,1071.13,KamiSuzu-machi,AkebonoMiya-machi
naka-07,hikari-02,1060.37,Shiro-ShioSaka-machi,Ō-KitaTani-machi
hikari-06,hikari-05,1058.56,Shin-NakaSuna-machi,Ko-WaAkebono-machi
naka-03,hikari-02,1051.39,KamiSuzu-machi,Ō-KitaTani-machi
higashi-02,hikari-06,1050.61,NishiMiya-machi,Shin-NakaSuna-machi
hikari-03,hikari-06,1030.84,Higashi-YamaNaga-machi,Shin-NakaSuna-machi
hikari-01,hikari-02,1026.42,TaniUmi-machi,Ō-KitaTani-machi
naka-05,hikari-01,1012.44,AkebonoMiya-machi,TaniUmi-machi
hikari-06,hikari-04,1011.92,Shin-NakaSuna-machi,Higashi-TakeTera-machi
tetsuba-04,hikari-06,1001.98,Ao-IshiIkari-machi,Shin-NakaSuna-machi
tsukimachi-04,hikari-07,999.81,Kurenai-HikariKura-machi,Shin-TsukiNami-machi
naka-07,tsukimachi-04,991.63,Shiro-ShioSaka-machi,Kurenai-HikariKura-machi
hikari-04,hikari-05,986.32,Higashi-TakeTera-machi,Ko-WaAkebono-machi
naka-08,hikari-05,983.81,Yū-HigashiAo-machi,Ko-WaAkebono-machi
hikari-10,hikari-07,982.01,Ko-TenHigashi-machi,Shin-TsukiNami-machi
hikari-05,hikari-06,973.8,Ko-WaAkebono-machi,Shin-NakaSuna-machi
naka-05,hikari-06,959.94,AkebonoMiya-machi,Shin-NakaSuna-machi
rural_south-04,hikari-04,957.54,Shiro-AoKita-machi,Higashi-TakeTera-machi
hikari-09,hikari-06,957.1,MinamiAshi-machi,Shin-NakaSuna-machi
higashi-03,hikari-03,955.52,Yū-HikariTani-machi,Higashi-YamaNaga-machi
naka-08,tsukimachi-04,918.71,Yū-HigashiAo-machi,Kurenai-HikariKura-machi
tetsuba-02,hikari-03,910.76,MinamiNaka-machi,Higashi-YamaNaga-machi
hikari-03,hikari-04,909.12,Higashi-YamaNaga-machi,Higashi-TakeTera-machi
tetsuba-04,hikari-03,907.9,Ao-IshiIkari-machi,Higashi-YamaNaga-machi
tetsuba-02,hikari-02,907.88,MinamiNaka-machi,Ō-KitaTani-machi
naka-05,hikari-02,897.91,AkebonoMiya-machi,Ō-KitaTani-machi
minami-06,hikari-02,896.21,Kurenai-MinatoKura-machi,Ō-KitaTani-machi
naka-10,hikari-04,895.79,Higashi-NamiShio-machi,Higashi-TakeTera-machi
minami-06,hikari-03,884.5,Kurenai-MinatoKura-machi,Higashi-YamaNaga-machi
minami-08,hikari-02,879.58,BashiHikari-machi,Ō-KitaTani-machi
higashi-01,tsukimachi-04,878.82,Kita-FuruTsuki-machi,Kurenai-HikariKura-machi
naka-07,hikari-05,863.98,Shiro-ShioSaka-machi,Ko-WaAkebono-machi
hikari-09,hikari-03,852.59,MinamiAshi-machi,Higashi-YamaNaga-machi
higashi-03,hikari-02,849.08,Yū-HikariTani-machi,Ō-KitaTani-machi
nishi-03,hikari-03,844.73,Ō-TsukiUmi-machi,Higashi-YamaNaga-machi
naka-03,hikari-01,831.86,KamiSuzu-machi,TaniUmi-machi
higashi-02,hikari-03,820.06,NishiMiya-machi,Higashi-YamaNaga-machi
hikari-10,hikari-03,813.11,Ko-TenHigashi-machi,Higashi-YamaNaga-machi
naka-05,hikari-05,810.93,AkebonoMiya-machi,Ko-WaAkebono-machi
hikari-04,hikari-06,801.63,Higashi-TakeTera-machi,Shin-NakaSuna-machi
hikari-08,hikari-03,788.64,Hon-MiyaWa-machi,Higashi-YamaNaga-machi
nishi-03,hikari-01,770.32,Ō-TsukiUmi-machi,TaniUmi-machi
minami-05,hikari-02,769.98,Yū-BashiAka-machi,Ō-KitaTani-machi
tsukimachi-04,hikari-01,762.27,Kurenai-HikariKura-machi,TaniUmi-machi
tsukimachi-01,hikari-03,759.23,Shimo-HaraHikari-machi,Higashi-YamaNaga-machi
hikari-08,hikari-02,754.84,Hon-MiyaWa-machi,Ō-KitaTani-machi
tetsuba-07,hikari-07,749.13,Minami-MinamiAme-machi,Shin-TsukiNami-machi
hikari-06,naka-05,743.55,Shin-NakaSuna-machi,AkebonoMiya-machi
minami-08,hikari-03,725.53,BashiHikari-machi,Higashi-YamaNaga-machi
hikari-02,naka-05,720.41,Ō-KitaTani-machi,AkebonoMiya-machi
naka-03,hikari-05,718.28,KamiSuzu-machi,Ko-WaAkebono-machi
hikari-01,hikari-06,714.58,TaniUmi-machi,Shin-NakaSuna-machi
naka-08,hikari-04,695.87,Yū-HigashiAo-machi,Higashi-TakeTera-machi
minato_kita-04,hikari-02,692.6,Ao-KawaYama-machi,Ō-KitaTani-machi
nishi-06,hikari-07,687.7,Haru-KitaBashi-machi,Shin-TsukiNami-machi
higashi-01,higashi-01,677.36,Kita-FuruTsuki-machi,Kita-FuruTsuki-machi
naka-09,hikari-07,675.81,Ao-KamiShiro-machi,Shin-TsukiNami-machi
nishi-06,tsukimachi-04,660.03,Haru-KitaBashi-machi,Kurenai-HikariKura-machi
naka-09,hikari-03,653.84,Ao-KamiShiro-machi,Higashi-YamaNaga-machi
tetsuba-05,hikari-07,626.15,Ko-NamiTsuki-machi,Shin-TsukiNami-machi
minami-05,hikari-03,625.13,Yū-BashiAka-machi,Higashi-YamaNaga-machi
minami-01,hikari-02,619.41,Midori-IshiShiro-machi,Ō-KitaTani-machi
naka-07,hikari-04,610.98,Shiro-ShioSaka-machi,Higashi-TakeTera-machi
tsukimachi-04,naka-05,601.45,Kurenai-HikariKura-machi,AkebonoMiya-machi
nishi-06,hikari-04,598.94,Haru-KitaBashi-machi,Higashi-TakeTera-machi
tsukimachi-05,hikari-01,597.7,Ō-KumoHikari-machi,TaniUmi-machi
naka-02,hikari-07,589.95,Shimo-SakuraHiro-machi,Shin-TsukiNami-machi
rural_south-04,hikari-03,589.08,Shiro-AoKita-machi,Higashi-YamaNaga-machi
hikari-09,hikari-02,578.76,MinamiAshi-machi,Ō-KitaTani-machi
hikari-05,naka-05,577.84,Ko-WaAkebono-machi,AkebonoMiya-machi
naka-05,hikari-04,572.36,AkebonoMiya-machi,Higashi-TakeTera-machi
minami-01,hikari-03,569.98,Midori-IshiShiro-machi,Higashi-YamaNaga-machi
higashi-02,hikari-02,569.16,NishiMiya-machi,Ō-KitaTani-machi
tetsuba-04,hikari-02,567.79,Ao-IshiIkari-machi,Ō-KitaTani-machi
minato_kita-04,hikari-03,552.3,Ao-KawaYama-machi,Higashi-YamaNaga-machi
nishi-01,hikari-01,538.03,AmeNami-machi,TaniUmi-machi
tetsuba-07,hikari-03,535.98,Minami-MinamiAme-machi,Higashi-YamaNaga-machi
naka-03,hikari-04,532.66,KamiSuzu-machi,Higashi-TakeTera-machi
tetsuba-02,hikari-01,529.89,MinamiNaka-machi,TaniUmi-machi
tsukimachi-05,hikari-03,521.29,Ō-KumoHikari-machi,Higashi-YamaNaga-machi
higashi-03,naka-05,516.39,Yū-HikariTani-machi,AkebonoMiya-machi
minami-06,hikari-01,516.01,Kurenai-MinatoKura-machi,TaniUmi-machi
tetsuba-04,naka-05,514.94,Ao-IshiIkari-machi,AkebonoMiya-machi
hikari-08,hikari-08,511.23,Hon-MiyaWa-machi,Hon-MiyaWa-machi
rural_south-04,hikari-07,509.46,Shiro-AoKita-machi,Shin-TsukiNami-machi
higashi-03,hikari-01,502.34,Yū-HikariTani-machi,TaniUmi-machi
tsukimachi-01,hikari-01,500.69,Shimo-HaraHikari-machi,TaniUmi-machi
tsukimachi-07,hikari-01,498.53,Soto-TenTsuki-machi,TaniUmi-machi
nishi-06,hikari-05,494.31,Haru-KitaBashi-machi,Ko-WaAkebono-machi
minami-08,hikari-01,488.95,BashiHikari-machi,TaniUmi-machi
rural_south-04,hikari-02,486.93,Shiro-AoKita-machi,Ō-KitaTani-machi
nishi-03,hikari-07,482.64,Ō-TsukiUmi-machi,Shin-TsukiNami-machi
minami-09,hikari-06,479.98,Kurenai-IkariKi-machi,Shin-NakaSuna-machi
tsukimachi-07,hikari-03,478.81,Soto-TenTsuki-machi,Higashi-YamaNaga-machi
naka-02,hikari-03,474.95,Shimo-SakuraHiro-machi,Higashi-YamaNaga-machi
nishi-01,hikari-03,470.91,AmeNami-machi,Higashi-YamaNaga-machi
tetsuba-02,hikari-05,468.06,MinamiNaka-machi,Ko-WaAkebono-machi
tsukimachi-04,hikari-05,466.12,Kurenai-HikariKura-machi,Ko-WaAkebono-machi
hikari-10,naka-05,463.44,Ko-TenHigashi-machi,AkebonoMiya-machi
higashi-02,naka-05,462.1,NishiMiya-machi,AkebonoMiya-machi
hikari-09,naka-05,460.72,MinamiAshi-machi,AkebonoMiya-machi
hikari-01,naka-05,458.64,TaniUmi-machi,AkebonoMiya-machi
hikari-08,hikari-01,455.53,Hon-MiyaWa-machi,TaniUmi-machi
minami-06,hikari-05,454.63,Kurenai-MinatoKura-machi,Ko-WaAkebono-machi
nishi-03,tsukimachi-04,454.22,Ō-TsukiUmi-machi,Kurenai-HikariKura-machi
tetsuba-02,naka-05,453.45,MinamiNaka-machi,AkebonoMiya-machi
tsukimachi-01,tsukimachi-04,451.15,Shimo-HaraHikari-machi,Kurenai-HikariKura-machi
minami-06,naka-05,446.32,Kurenai-MinatoKura-machi,AkebonoMiya-machi
higashi-03,hikari-05,446.26,Yū-HikariTani-machi,Ko-WaAkebono-machi
minami-08,hikari-04,445.35,BashiHikari-machi,Higashi-TakeTera-machi
minami-07,hikari-07,444.25,NagaIkari-machi,Shin-TsukiNami-machi
minami-09,hikari-07,442.03,Kurenai-IkariKi-machi,Shin-TsukiNami-machi
tsukimachi-01,hikari-07,442.0,Shimo-HaraHikari-machi,Shin-TsukiNami-machi
hikari-10,hikari-06,441.63,Ko-TenHigashi-machi,Shin-NakaSuna-machi
tetsuba-08,hikari-07,438.02,Soto-MatsuGin-machi,Shin-TsukiNami-machi
hikari-03,tsukimachi-04,428.75,Higashi-YamaNaga-machi,Kurenai-HikariKura-machi
minami-05,hikari-01,427.99,Yū-BashiAka-machi,TaniUmi-machi
tetsuba-02,hikari-04,427.95,MinamiNaka-machi,Higashi-TakeTera-machi
tetsuba-05,hikari-06,427.54,Ko-NamiTsuki-machi,Shin-NakaSuna-machi
naka-04,hikari-03,426.89,Ko-MinatoAka-machi,Higashi-YamaNaga-machi
tsukimachi-04,hikari-02,426.57,Kurenai-HikariKura-machi,Ō-KitaTani-machi
minami-06,hikari-04,426.1,Kurenai-MinatoKura-machi,Higashi-TakeTera-machi
rural_south-04,hikari-05,425.97,Shiro-AoKita-machi,Ko-WaAkebono-machi
higashi-01,hikari-10,423.6,Kita-FuruTsuki-machi,Ko-TenHigashi-machi
naka-03,tsukimachi-04,421.07,KamiSuzu-machi,Kurenai-HikariKura-machi
minami-08,hikari-05,417.16,BashiHikari-machi,Ko-WaAkebono-machi
tsukimachi-04,hikari-06,416.18,Kurenai-HikariKura-machi,Shin-NakaSuna-machi
tetsuba-02,hikari-08,416.16,MinamiNaka-machi,Hon-MiyaWa-machi
minami-07,hikari-06,414.18,NagaIkari-machi,Shin-NakaSuna-machi
hikari-09,hikari-01,410.91,MinamiAshi-machi,TaniUmi-machi
tetsuba-04,hikari-01,406.44,Ao-IshiIkari-machi,TaniUmi-machi
nishi-06,hikari-02,405.84,Haru-KitaBashi-machi,Ō-KitaTani-machi
hikari-08,hikari-05,403.93,Hon-MiyaWa-machi,Ko-WaAkebono-machi
minami-06,hikari-08,402.83,Kurenai-MinatoKura-machi,Hon-MiyaWa-machi
higashi-03,hikari-04,401.03,Yū-HikariTani-machi,Higashi-TakeTera-machi
hikari-06,hikari-08,400.3,Shin-NakaSuna-machi,Hon-MiyaWa-machi
higashi-03,hikari-08,398.9,Yū-HikariTani-machi,Hon-MiyaWa-machi
tetsuba-07,hikari-06,390.84,Minami-MinamiAme-machi,Shin-NakaSuna-machi
minami-05,hikari-04,388.58,Yū-BashiAka-machi,Higashi-TakeTera-machi
minato_kita-04,hikari-01,386.13,Ao-KawaYama-machi,TaniUmi-machi
tsukimachi-02,hikari-03,385.08,Higashi-KiKumo-machi,Higashi-YamaNaga-machi
hikari-08,naka-05,382.99,Hon-MiyaWa-machi,AkebonoMiya-machi
higashi-02,hikari-01,379.52,NishiMiya-machi,TaniUmi-machi
naka-03,hikari-08,373.07,KamiSuzu-machi,Hon-MiyaWa-machi
naka-05,tsukimachi-04,372.87,AkebonoMiya-machi,Kurenai-HikariKura-machi
tetsuba-05,hikari-03,366.2,Ko-NamiTsuki-machi,Higashi-YamaNaga-machi
nishi-03,hikari-04,365.5,Ō-TsukiUmi-machi,Higashi-TakeTera-machi
tsukimachi-02,tsukimachi-04,364.58,Higashi-KiKumo-machi,Kurenai-HikariKura-machi
minami-05,hikari-05,364.53,Yū-BashiAka-machi,Ko-WaAkebono-machi
naka-04,hikari-07,364.51,Ko-MinatoAka-machi,Shin-TsukiNami-machi
hikari-09,hikari-05,362.93,MinamiAshi-machi,Ko-WaAkebono-machi
tsukimachi-04,hikari-04,360.79,Kurenai-HikariKura-machi,Higashi-TakeTera-machi
tetsuba-04,hikari-05,355.74,Ao-IshiIkari-machi,Ko-WaAkebono-machi
nishi-06,naka-05,355.71,Haru-KitaBashi-machi,AkebonoMiya-machi
hikari-10,hikari-02,355.28,Ko-TenHigashi-machi,Ō-KitaTani-machi
hikari-08,hikari-04,353.81,Hon-MiyaWa-machi,Higashi-TakeTera-machi
naka-09,naka-05,352.01,Ao-KamiShiro-machi,AkebonoMiya-machi
hikari-04,naka-05,351.21,Higashi-TakeTera-machi,AkebonoMiya-machi
minami-01,hikari-01,348.76,Midori-IshiShiro-machi,TaniUmi-machi
naka-03,hikari-09,347.04,KamiSuzu-machi,MinamiAshi-machi
hikari-10,hikari-01,344.63,Ko-TenHigashi-machi,TaniUmi-machi
minami-08,naka-05,342.88,BashiHikari-machi,AkebonoMiya-machi
rural_south-04,hikari-06,340.76,Shiro-AoKita-machi,Shin-NakaSuna-machi
minato_kita-04,hikari-04,338.6,Ao-KawaYama-machi,Higashi-TakeTera-machi
higashi-02,hikari-05,335.52,NishiMiya-machi,Ko-WaAkebono-machi
hikari-07,tsukimachi-04,333.83,Shin-TsukiNami-machi,Kurenai-HikariKura-machi
nishi-03,hikari-05,332.1,Ō-TsukiUmi-machi,Ko-WaAkebono-machi
minato_kita-04,hikari-05,330.28,Ao-KawaYama-machi,Ko-WaAkebono-machi
naka-09,tsukimachi-04,328.83,Ao-KamiShiro-machi,Kurenai-HikariKura-machi
naka-09,hikari-06,327.33,Ao-KamiShiro-machi,Shin-NakaSuna-machi
minami-08,hikari-08,324.04,BashiHikari-machi,Hon-MiyaWa-machi
naka-06,hikari-07,321.07,Aki-UmiNishi-machi,Shin-TsukiNami-machi
tsukimachi-05,hikari-07,320.9,Ō-KumoHikari-machi,Shin-TsukiNami-machi
tetsuba-08,hikari-03,315.64,Soto-MatsuGin-machi,Higashi-YamaNaga-machi
hikari-07,hikari-08,312.69,Shin-TsukiNami-machi,Hon-MiyaWa-machi
naka-04,tsukimachi-04,310.42,Ko-MinatoAka-machi,Kurenai-HikariKura-machi
nishi-06,hikari-06,305.63,Haru-KitaBashi-machi,Shin-NakaSuna-machi
tetsuba-07,naka-05,305.08,Minami-MinamiAme-machi,AkebonoMiya-machi
minami-01,hikari-05,304.07,Midori-IshiShiro-machi,Ko-WaAkebono-machi
minami-01,hikari-04,301.86,Midori-IshiShiro-machi,Higashi-TakeTera-machi
naka-07,hikari-08,292.59,Shiro-ShioSaka-machi,Hon-MiyaWa-machi
minami-03,hikari-06,290.93,KitaHiro-machi,Shin-NakaSuna-machi
minami-05,naka-05,290.06,Yū-BashiAka-machi,AkebonoMiya-machi
naka-02,hikari-06,288.51,Shimo-SakuraHiro-machi,Shin-NakaSuna-machi
hikari-10,hikari-05,286.2,Ko-TenHigashi-machi,Ko-WaAkebono-machi
hikari-09,hikari-09,285.67,MinamiAshi-machi,MinamiAshi-machi
minami-01,naka-05,284.09,Midori-IshiShiro-machi,AkebonoMiya-machi
hikari-09,hikari-04,281.89,MinamiAshi-machi,Higashi-TakeTera-machi
minami-03,hikari-07,280.38,KitaHiro-machi,Shin-TsukiNami-machi
tsukimachi-07,hikari-07,279.38,Soto-TenTsuki-machi,Shin-TsukiNami-machi
tsukimachi-05,hikari-04,277.45,Ō-KumoHikari-machi,Higashi-TakeTera-machi
nishi-01,hikari-04,276.66,AmeNami-machi,Higashi-TakeTera-machi
nishi-01,hikari-07,275.19,AmeNami-machi,Shin-TsukiNami-machi
tetsuba-04,hikari-04,273.69,Ao-IshiIkari-machi,Higashi-TakeTera-machi
naka-07,hikari-09,272.7,Shiro-ShioSaka-machi,MinamiAshi-machi
minami-05,hikari-08,271.89,Yū-BashiAka-machi,Hon-MiyaWa-machi
nishi-03,hikari-02,271.88,Ō-TsukiUmi-machi,Ō-KitaTani-machi
naka-02,naka-05,270.85,Shimo-SakuraHiro-machi,AkebonoMiya-machi
tetsuba-07,hikari-02,269.97,Minami-MinamiAme-machi,Ō-KitaTani-machi
higashi-02,hikari-08,269.55,NishiMiya-machi,Hon-MiyaWa-machi
higashi-02,hikari-04,268.65,NishiMiya-machi,Higashi-TakeTera-machi
naka-10,hikari-08,268.23,Higashi-NamiShio-machi,Hon-MiyaWa-machi
naka-06,hikari-03,267.57,Aki-UmiNishi-machi,Higashi-YamaNaga-machi
naka-09,hikari-01,267.07,Ao-KamiShiro-machi,TaniUmi-machi
tsukimachi-03,hikari-03,266.86,NamiMiya-machi,Higashi-YamaNaga-machi
naka-10,hikari-10,263.78,Higashi-NamiShio-machi,Ko-TenHigashi-machi
minami-01,hikari-08,261.59,Midori-IshiShiro-machi,Hon-MiyaWa-machi
minami-09,hikari-02,260.54,Kurenai-IkariKi-machi,Ō-KitaTani-machi
tsukimachi-01,hikari-05,258.33,Shimo-HaraHikari-machi,Ko-WaAkebono-machi
tetsuba-08,hikari-06,255.07,Soto-MatsuGin-machi,Shin-NakaSuna-machi
tetsuba-04,hikari-08,254.28,Ao-IshiIkari-machi,Hon-MiyaWa-machi
nishi-03,naka-05,253.68,Ō-TsukiUmi-machi,AkebonoMiya-machi
tsukimachi-05,hikari-05,250.34,Ō-KumoHikari-machi,Ko-WaAkebono-machi
tsukimachi-01,naka-05,248.31,Shimo-HaraHikari-machi,AkebonoMiya-machi
tetsuba-05,hikari-02,246.87,Ko-NamiTsuki-machi,Ō-KitaTani-machi
naka-09,hikari-02,243.2,Ao-KamiShiro-machi,Ō-KitaTani-machi
minato_kita-04,naka-05,243.1,Ao-KawaYama-machi,AkebonoMiya-machi
tsukimachi-02,hikari-07,240.3,Higashi-KiKumo-machi,Shin-TsukiNami-machi
tsukimachi-07,hikari-04,237.57,Soto-TenTsuki-machi,Higashi-TakeTera-machi
tetsuba-04,tsukimachi-04,237.26,Ao-IshiIkari-machi,Kurenai-HikariKura-machi
