mid,name_romaji,district_id,dwellings,vacant,occupied,population,households,age_0_5,age_6_14,age_15_17,age_18_24,age_25_44,age_45_64,age_65_p,age_65p,workforce,jobs,mean_household_income_myen,gini,poverty_rate,single_households,elderly_alone,floor_m2,floor_per_capita,land_value_myen_per_sqm,rent_2ldk_kyen,vacancy_rate,accessibility,jobs_by_sector
tsukimachi-01,Shimo-HaraHikari-machi,tsukimachi,2887,568,2319,5355,2319,0.0155,0.0424,0.0331,0.0729,0.2434,0.258,0.3348,0.3309,3394,0,4.8736,0.3026,0.1461,696,264,317000.4697,59.1971,0.0574,45.5612,0.1967,0.1635,
tsukimachi-02,Higashi-KiKumo-machi,tsukimachi,1375,268,1107,2863,1107,0.0259,0.0555,0.0329,0.0729,0.2564,0.2547,0.3017,0.302,1857,0,4.9911,0.304,0.1419,332,114,149103.6571,52.0795,0.0638,47.7465,0.1951,0.0976,
tsukimachi-03,NamiMiya-machi,tsukimachi,938,117,821,1920,821,0.0335,0.0632,0.0346,0.0768,0.2703,0.2631,0.2586,0.2506,1283,2479,4.6511,0.3,0.1472,246,72,206823.8445,107.7208,0.0452,41.4238,0.1247,0.0915,accommodation_food=238;agriculture_forestry=92;arts_recreation=68;construction=171;education=115;finance_insurance=41;healthcare_welfare=322;ict=85;manufacturing=226;mining=12;other_services=20;professional=108;public_admin=133;transport_postal=146;utilities=30;wholesale_retail=672
tsukimachi-04,Kurenai-HikariKura-machi,tsukimachi,5938,695,5243,12137,5243,0.0205,0.0454,0.0361,0.0801,0.2576,0.2756,0.2848,0.2635,7965,15621,5.208,0.3066,0.1364,1573,508,1284289.4022,105.8161,0.0756,51.7799,0.1171,0.2037,accommodation_food=1633;agriculture_forestry=612;arts_recreation=424;construction=957;education=723;finance_insurance=205;healthcare_welfare=1889;ict=541;manufacturing=1365;mining=60;other_services=138;professional=753;public_admin=671;transport_postal=1051;utilities=186;wholesale_retail=4413
tsukimachi-05,Ō-KumoHikari-machi,tsukimachi,2181,412,1769,3966,1769,0.019,0.0424,0.0371,0.0825,0.2584,0.2824,0.2782,0.2512,2614,2,5.4386,0.3094,0.1311,531,167,236211.6883,59.5592,0.0882,56.0673,0.189,0.2387,accommodation_food=1;wholesale_retail=1
tsukimachi-06,Aki-TenKura-machi,tsukimachi,0,0,0,0,1,0.0259,0.0474,0.0403,0.0903,0.2756,0.3012,0.2194,0.1857,0,0,5.4023,0.309,0.1289,0,0,0,0.0,0.0862,55.3912,0.1895,0.2792,
tsukimachi-07,Soto-TenTsuki-machi,tsukimachi,1842,359,1483,3708,1483,0.0169,0.0449,0.0323,0.0711,0.2432,0.2528,0.3388,0.3417,2344,0,4.9871,0.304,0.1439,445,171,201104.7271,54.2354,0.0636,47.6709,0.1951,0.1381,
tsukimachi-08,Shimo-AkebonoNaka-machi,tsukimachi,591,116,475,1179,475,0.0228,0.0516,0.033,0.0728,0.2524,0.2556,0.3119,0.3112,759,0,4.8893,0.3028,0.1447,142,50,63495.7247,53.8556,0.0582,45.8524,0.1964,0.1203,
tetsuba-01,AkaShiro-machi,tetsuba,0,0,0,0,1,0.0226,0.046,0.0379,0.0845,0.2651,0.2869,0.257,0.2284,0,0,5.2804,0.3075,0.1334,0,0,0,0.0,0.0795,53.1252,0.1911,0.2364,
tetsuba-02,MinamiNaka-machi,tetsuba,6092,1055,5037,11721,5037,0.0228,0.0413,0.0421,0.1001,0.2753,0.3125,0.2058,0.1679,8107,0,6.6019,0.3234,0.1153,1573,352,692171.3478,59.0539,0.1516,77.6978,0.1731,0.389,
tetsuba-03,Naka-IshiSaka-machi,tetsuba,788,94,694,1536,694,0.0185,0.0453,0.0338,0.0747,0.2491,0.2618,0.3169,0.3086,986,2457,5.0613,0.3049,0.1412,208,75,354449.2002,230.7612,0.0676,49.0516,0.1191,0.1632,accommodation_food=119;agriculture_forestry=52;arts_recreation=35;construction=221;education=131;finance_insurance=13;healthcare_welfare=250;ict=23;manufacturing=862;mining=16;other_services=12;professional=91;public_admin=88;transport_postal=210;utilities=29;wholesale_retail=305
tetsuba-04,Ao-IshiIkari-machi,tetsuba,5451,1048,4403,9882,4403,0.0199,0.0465,0.0343,0.076,0.2523,0.2648,0.3063,0.2949,6390,0,5.1898,0.3064,0.1379,1321,459,608817.4714,61.6087,0.0746,51.4413,0.1923,0.1676,
tetsuba-05,Ko-NamiTsuki-machi,tetsuba,2189,383,1806,3934,1806,0.0177,0.0337,0.0398,0.0965,0.2589,0.3002,0.2532,0.2151,2637,0,6.4553,0.3216,0.1177,572,155,247999.4745,63.04,0.1436,74.9725,0.1751,0.3968,
tetsuba-06,Hon-TeraKita-machi,tetsuba,83,7,76,181,76,0.0183,0.0344,0.0399,0.1577,0.2553,0.2963,0.1981,0.1705,126,557,8.3513,0.345,0.1149,34,5,68968.2481,381.04,0.3413,142.3866,0.086,0.7346,accommodation_food=34;agriculture_forestry=13;arts_recreation=10;construction=49;education=14;healthcare_welfare=59;ict=3;manufacturing=187;mining=3;other_services=4;professional=26;public_admin=24;transport_postal=49;utilities=11;wholesale_retail=71
tetsuba-07,Minami-MinamiAme-machi,tetsuba,2523,406,2117,4688,2117,0.0176,0.0313,0.0398,0.117,0.2545,0.2988,0.2411,0.2057,3168,0,7.4845,0.3339,0.1171,767,174,284972.9003,60.7877,0.1997,94.1088,0.1611,0.4879,
tetsuba-08,Soto-MatsuGin-machi,tetsuba,1463,169,1294,2921,1294,0.0253,0.0485,0.0387,0.0864,0.2705,0.2909,0.2397,0.2101,1976,4407,5.3212,0.308,0.1317,388,105,628103.3301,215.0302,0.0818,53.8832,0.1156,0.238,accommodation_food=189;agriculture_forestry=90;arts_recreation=69;construction=364;education=176;finance_insurance=24;healthcare_welfare=460;ict=36;manufacturing=1579;mining=32;other_services=35;professional=183;public_admin=146;transport_postal=417;utilities=39;wholesale_retail=568
port-01,Soto-TeraHiro-machi,port,0,0,0,0,1,0.0301,0.0595,0.0341,0.0756,0.2646,0.2607,0.2755,0.2694,0,0,4.8662,0.3025,0.1433,0,0,0,0.0,0.057,45.4231,0.1968,0.1033,
port-02,Ko-TeraKura-machi,port,0,0,0,0,1,0.0256,0.0522,0.0357,0.0792,0.2631,0.2718,0.2724,0.2555,0,0,5.0494,0.3047,0.1392,0,0,0,0.0,0.0669,48.8298,0.1943,0.1661,
port-03,Soto-HoshiKura-machi,port,0,0,0,0,1,0.0264,0.0562,0.0328,0.0726,0.2567,0.2539,0.3013,0.3025,0,0,4.5628,0.2989,0.1512,0,0,0,0.0,0.0404,39.7828,0.2009,0.045,
port-04,Ko-HiroSuna-machi,port,0,0,0,0,1,0.0311,0.0609,0.0339,0.0753,0.2655,0.2596,0.2737,0.2689,0,0,4.5449,0.2987,0.1502,0,0,0,0.0,0.0394,39.4484,0.2011,0.0193,
port-05,Yū-YoiShio-machi,port,0,0,0,0,1,0.027,0.0569,0.033,0.073,0.2579,0.2547,0.2974,0.2977,0,0,4.4837,0.2979,0.1527,0,0,0,0.0,0.0361,38.3117,0.202,0.0492,
port-06,Asa-AkaKumo-machi,port,0,0,0,0,1,0.0283,0.0581,0.0333,0.0737,0.2603,0.2562,0.2901,0.2887,0,0,4.4062,0.297,0.154,0,0,0,0.0,0.0319,36.8703,0.203,0.0154,
minami-01,Midori-IshiShiro-machi,minami,3995,771,3224,8098,3224,0.0237,0.0503,0.0352,0.0782,0.2594,0.2695,0.2837,0.2684,5318,0,5.1431,0.3059,0.1378,967,311,428424.9589,52.905,0.0721,50.5717,0.193,0.1668,
minami-02,Kurenai-KitaMiya-machi,minami,49,9,40,95,40,0.0218,0.0464,0.0366,0.0814,0.2607,0.2788,0.2742,0.2508,63,0,5.2812,0.3075,0.1343,12,4,5348.4468,56.2994,0.0796,53.1409,0.1911,0.209,
minami-03,KitaHiro-machi,minami,1048,212,836,2098,836,0.0163,0.0454,0.0313,0.0688,0.2399,0.2468,0.3514,0.3631,1314,0,4.4908,0.298,0.1553,251,100,115553.7387,55.078,0.0365,38.4432,0.2019,0.1166,
minami-04,Shin-SuzuTera-machi,minami,383,57,326,708,326,0.022,0.042,0.0409,0.0915,0.2721,0.3056,0.2259,0.1885,483,99,6.1332,0.3177,0.1163,98,25,44564.813,62.9447,0.126,68.9821,0.1477,0.334,accommodation_food=4;agriculture_forestry=1;arts_recreation=1;construction=5;education=7;finance_insurance=4;healthcare_welfare=9;ict=1;manufacturing=34;other_services=1;professional=9;public_admin=2;transport_postal=7;utilities=3;wholesale_retail=11
minami-05,Yū-BashiAka-machi,minami,4487,646,3841,8985,3841,0.0239,0.0462,0.0393,0.0877,0.2703,0.2949,0.2377,0.2055,6086,1385,5.6746,0.3122,0.1239,1152,310,534326.6907,59.4687,0.101,60.4552,0.1441,0.263,accommodation_food=79;agriculture_forestry=42;arts_recreation=18;construction=116;education=73;finance_insurance=35;healthcare_welfare=155;ict=49;manufacturing=369;mining=3;other_services=18;professional=58;public_admin=45;transport_postal=116;utilities=22;wholesale_retail=187
minami-06,Kurenai-MinatoKura-machi,minami,6980,1303,5677,11996,5677,0.0192,0.0416,0.038,0.0847,0.261,0.2882,0.2672,0.2364,7967,460,5.6079,0.3114,0.1269,1703,516,727277.9746,60.6267,0.0974,59.2159,0.1866,0.263,accommodation_food=23;agriculture_forestry=13;arts_recreation=5;construction=37;education=27;finance_insurance=11;healthcare_welfare=57;ict=11;manufacturing=117;mining=1;other_services=4;professional=20;public_admin=18;transport_postal=48;utilities=11;wholesale_retail=57
minami-07,NagaIkari-machi,minami,1554,192,1362,3068,1362,0.0227,0.0493,0.035,0.0776,0.2577,0.2684,0.2892,0.2748,2007,3997,4.712,0.3007,0.1474,409,134,307019.7839,100.0716,0.0486,42.556,0.1239,0.1673,accommodation_food=184;agriculture_forestry=99;arts_recreation=74;construction=322;education=192;finance_insurance=116;healthcare_welfare=468;ict=114;manufacturing=1013;mining=18;other_services=28;professional=171;public_admin=192;transport_postal=384;utilities=53;wholesale_retail=569
minami-08,BashiHikari-machi,minami,5374,1029,4345,10410,4345,0.0286,0.0535,0.0378,0.0845,0.2725,0.2849,0.2381,0.2131,7049,0,5.254,0.3072,0.1331,1304,352,576891.4335,55.417,0.0781,52.6351,0.1915,0.1983,
minami-09,Kurenai-IkariKi-machi,minami,1596,312,1284,3208,1284,0.0248,0.052,0.035,0.0776,0.2603,0.2677,0.2826,0.2692,2108,0,4.9463,0.3035,0.142,385,123,170098.3401,53.0232,0.0613,46.9121,0.1957,0.1554,
naka-01,Shin-NakaMatsu-machi,naka,348,30,318,610,318,0.0174,0.0329,0.0397,0.1462,0.2538,0.2962,0.2138,0.1841,420,901,8.3513,0.345,0.1157,136,23,75831.5739,124.3141,0.2977,127.5078,0.086,0.6575,accommodation_food=56;agriculture_forestry=14;arts_recreation=14;construction=63;education=58;finance_insurance=23;healthcare_welfare=142;ict=25;manufacturing=186;mining=5;other_services=12;professional=44;public_admin=37;transport_postal=74;utilities=9;wholesale_retail=139
naka-02,Shimo-SakuraHiro-machi,naka,1971,281,1690,3787,1690,0.0194,0.0369,0.0414,0.113,0.2672,0.3083,0.2138,0.1768,2606,411,6.9384,0.3274,0.1157,580,123,223739.1405,59.0808,0.17,83.9553,0.1426,0.4481,accommodation_food=30;agriculture_forestry=14;arts_recreation=9;construction=29;education=22;finance_insurance=9;healthcare_welfare=61;ict=18;manufacturing=86;mining=1;other_services=3;professional=19;public_admin=12;transport_postal=24;utilities=3;wholesale_retail=71
naka-03,KamiSuzu-machi,naka,9234,1183,8051,17630,8051,0.0195,0.0376,0.0413,0.1051,0.2682,0.3082,0.2201,0.1821,12081,2978,6.7746,0.3254,0.116,2632,602,1089169.5984,61.7793,0.161,80.9099,0.1281,0.4157,accommodation_food=171;agriculture_forestry=89;arts_recreation=59;construction=198;education=172;finance_insurance=87;healthcare_welfare=398;ict=102;manufacturing=560;mining=14;other_services=37;professional=172;public_admin=136;transport_postal=231;utilities=40;wholesale_retail=512
naka-04,Ko-MinatoAka-machi,naka,1566,300,1266,3250,1266,0.0253,0.0531,0.0344,0.0763,0.2594,0.2642,0.2872,0.2772,2129,0,5.2626,0.3073,0.1353,380,124,170040.5311,52.3202,0.0786,52.7941,0.1914,0.141,
naka-05,AkebonoMiya-machi,naka,8665,806,7859,16771,7859,0.021,0.0374,0.0415,0.1375,0.2663,0.3074,0.1887,0.1565,11728,22204,6.978,0.3279,0.1144,3105,504,1836143.4819,109.4832,0.1721,84.6913,0.093,0.5668,accommodation_food=1309;agriculture_forestry=696;arts_recreation=454;construction=1532;education=1210;finance_insurance=671;healthcare_welfare=3122;ict=826;manufacturing=4053;mining=112;other_services=242;professional=1218;public_admin=1044;transport_postal=1687;utilities=303;wholesale_retail=3725
naka-06,Aki-UmiNishi-machi,naka,1062,92,970,2110,970,0.0175,0.0302,0.0394,0.119,0.2519,0.2967,0.2453,0.2109,1422,2774,7.4607,0.3337,0.1173,358,81,218713.0026,103.6555,0.1984,93.6675,0.0864,0.5029,accommodation_food=164;agriculture_forestry=74;arts_recreation=64;construction=183;education=162;finance_insurance=82;healthcare_welfare=394;ict=106;manufacturing=506;mining=11;other_services=33;professional=147;public_admin=139;transport_postal=210;utilities=51;wholesale_retail=448
naka-07,Shiro-ShioSaka-machi,naka,11467,2129,9338,20750,9338,0.0242,0.0457,0.0399,0.0893,0.2724,0.2992,0.2292,0.1953,14135,0,5.6801,0.3123,0.1234,2801,728,1230102.0432,59.282,0.1013,60.5567,0.1857,0.2811,
naka-08,Yū-HigashiAo-machi,naka,11660,2058,9602,21370,9602,0.0188,0.0372,0.0411,0.1012,0.2671,0.3069,0.2276,0.1891,14572,327,6.3518,0.3204,0.1164,3073,743,1226301.6653,57.3843,0.138,73.0466,0.1765,0.403,accommodation_food=18;agriculture_forestry=6;arts_recreation=6;construction=21;education=14;finance_insurance=10;healthcare_welfare=52;ict=19;manufacturing=66;mining=2;other_services=5;professional=14;public_admin=14;transport_postal=19;utilities=5;wholesale_retail=56
naka-09,Ao-KamiShiro-machi,naka,2871,566,2305,5236,2305,0.0227,0.0486,0.0356,0.0791,0.2592,0.2722,0.2827,0.2648,3441,1,4.829,0.3021,0.1445,692,222,313746.758,59.9211,0.0549,44.7323,0.1973,0.1808,healthcare_welfare=1
naka-10,Higashi-NamiShio-machi,naka,16169,3086,13083,29177,13083,0.0245,0.0473,0.0388,0.0867,0.2699,0.2922,0.2407,0.2101,19724,1513,5.2977,0.3077,0.1323,3925,1071,1715266.5149,58.7883,0.0805,53.447,0.1909,0.2478,accommodation_food=103;agriculture_forestry=41;arts_recreation=31;construction=110;education=67;finance_insurance=46;healthcare_welfare=204;ict=59;manufacturing=295;mining=4;other_services=12;professional=81;public_admin=64;transport_postal=122;utilities=25;wholesale_retail=249
higashi-01,Kita-FuruTsuki-machi,higashi,38824,6902,31922,76468,31922,0.03,0.0598,0.0337,0.0747,0.2635,0.2583,0.2801,0.2765,50343,6574,4.7597,0.3013,0.1459,9577,3040,4502844.8262,58.8853,0.0512,43.4431,0.1778,0.0684,accommodation_food=399;agriculture_forestry=187;arts_recreation=134;construction=475;education=407;finance_insurance=193;healthcare_welfare=933;ict=250;manufacturing=1161;mining=29;other_services=76;professional=381;public_admin=293;transport_postal=472;utilities=84;wholesale_retail=1100
higashi-02,NishiMiya-machi,higashi,5021,999,4022,9511,4022,0.0256,0.0555,0.0327,0.0722,0.2553,0.2531,0.3056,0.3079,6153,1,4.7049,0.3006,0.1483,1207,418,544760.355,57.2769,0.0482,42.4242,0.199,0.0795,wholesale_retail=1
higashi-03,Yū-HikariTani-machi,higashi,7021,1390,5631,12939,5631,0.0203,0.0502,0.0315,0.0692,0.2454,0.2467,0.3368,0.3482,8189,1,4.7735,0.3014,0.1484,1689,645,762634.1028,58.9407,0.0519,43.6998,0.198,0.0503,professional=1
higashi-04,Asa-SunaKami-machi,higashi,0,0,0,0,1,0.0146,0.0439,0.0307,0.0674,0.2362,0.2435,0.3637,0.3809,0,0,4.8222,0.302,0.1487,0,0,0,0.0,0.0546,44.6052,0.1974,0.1113,
higashi-05,Kurenai-TakeFuru-machi,higashi,0,0,0,0,1,0.014,0.0429,0.0298,0.065,0.2315,0.2376,0.3793,0.407,0,0,4.5612,0.2989,0.1551,0,0,0,0.0,0.0403,39.752,0.2009,0.0266,
higashi-06,Yū-TsuruSaka-machi,higashi,0,0,0,0,1,0.0157,0.0456,0.0304,0.0666,0.2368,0.2411,0.3637,0.3846,0,0,4.7965,0.3017,0.1493,0,0,0,0.0,0.0532,44.1285,0.1977,0.052,
higashi-07,Ko-YoiMiya-machi,higashi,0,0,0,0,1,0.0267,0.0566,0.0329,0.0728,0.2573,0.2543,0.2993,0.3001,0,0,4.6564,0.3,0.1491,0,0,0,0.0,0.0455,41.5218,0.1996,0.0313,
higashi-08,Naka-TsukiShiro-machi,higashi,40,8,32,73,32,0.0231,0.0529,0.0321,0.0708,0.2505,0.25,0.3207,0.3272,47,0,4.6771,0.3003,0.1497,10,3,4184.9133,57.3276,0.0466,41.9076,0.1993,0.0288,
nishi-01,AmeNami-machi,nishi,1894,376,1518,3869,1518,0.0233,0.0531,0.0321,0.0709,0.2509,0.2502,0.3195,0.3257,2479,0,4.7241,0.3008,0.1486,455,165,206456.5435,53.3617,0.0492,42.7821,0.1987,0.0404,
nishi-02,Midori-KiKawa-machi,nishi,0,0,0,0,1,0.0167,0.0466,0.0306,0.0672,0.2385,0.2423,0.3582,0.377,0,0,4.9148,0.3031,0.1464,0,0,0,0.0,0.0596,46.328,0.1961,0.0741,
nishi-03,Ō-TsukiUmi-machi,nishi,3337,669,2668,6493,2668,0.0223,0.0522,0.0319,0.0703,0.249,0.249,0.3253,0.3331,4143,3,4.5836,0.2991,0.152,800,295,361114.5633,55.616,0.0416,40.1695,0.2006,0.0644,manufacturing=1;professional=1;wholesale_retail=1
nishi-04,Shimo-TakeKawa-machi,nishi,193,39,154,348,154,0.023,0.0529,0.0321,0.0707,0.2504,0.2499,0.3211,0.3277,223,0,4.6519,0.3,0.1503,46,17,21244.0323,61.0461,0.0453,41.4379,0.1997,0.0232,
nishi-05,TeraKura-machi,nishi,1,0,1,3,1,0.0225,0.0523,0.0319,0.0704,0.2494,0.2492,0.3242,0.3317,2,0,4.4551,0.2976,0.1547,0,0,98.6199,32.8733,0.0345,37.78,0.2024,0.0387,
nishi-06,Haru-KitaBashi-machi,nishi,5347,1071,4276,9630,4276,0.0223,0.0521,0.0319,0.0703,0.249,0.249,0.3254,0.3332,6144,0,4.612,0.2995,0.1513,1283,473,596395.6699,61.931,0.0431,40.6978,0.2002,0.0219,
nishi-07,Haru-KiShin-machi,nishi,0,0,0,0,1,0.0226,0.0525,0.032,0.0705,0.2497,0.2494,0.3232,0.3304,0,0,4.8136,0.3019,0.1469,0,0,0,0.0,0.0541,44.4463,0.1975,0.0214,
minato_kita-01,Ō-YamaSaka-machi,minato_kita,44,5,39,87,39,0.0244,0.0454,0.0404,0.0904,0.2738,0.302,0.2236,0.1888,59,104,5.6951,0.3125,0.1228,12,3,16987.9064,195.2633,0.1022,60.8361,0.1105,0.2939,accommodation_food=4;agriculture_forestry=6;arts_recreation=1;construction=8;education=2;finance_insurance=3;healthcare_welfare=14;ict=4;manufacturing=22;other_services=1;professional=7;public_admin=11;transport_postal=8;utilities=2;wholesale_retail=11
minato_kita-02,Aki-SunaNaga-machi,minato_kita,0,0,0,0,1,0.0219,0.0462,0.0369,0.0821,0.2616,0.2807,0.2707,0.2459,0,158,5.2875,0.3076,0.134,0,0,19987.6905,19987.6905,0.0799,53.2571,0.116,0.2158,accommodation_food=11;agriculture_forestry=4;arts_recreation=1;construction=15;education=9;finance_insurance=7;healthcare_welfare=26;ict=6;manufacturing=34;other_services=1;professional=8;public_admin=6;transport_postal=7;wholesale_retail=23
minato_kita-03,Haru-MiyaHigashi-machi,minato_kita,462,47,415,931,415,0.0211,0.04,0.0415,0.0958,0.2721,0.3096,0.2199,0.1811,638,617,6.2908,0.3196,0.116,127,31,117336.5462,126.0328,0.1346,71.914,0.1023,0.3783,accommodation_food=54;agriculture_forestry=12;arts_recreation=14;construction=37;education=39;finance_insurance=14;healthcare_welfare=80;ict=21;manufacturing=101;mining=7;other_services=8;professional=37;public_admin=26;transport_postal=48;utilities=9;wholesale_retail=110
minato_kita-04,Ao-KawaYama-machi,minato_kita,4181,625,3556,7695,3556,0.0191,0.0361,0.0413,0.1222,0.2653,0.3073,0.2088,0.1732,5312,927,7.0653,0.3289,0.1154,1293,252,467545.408,60.7596,0.1769,86.3152,0.1495,0.4914,accommodation_food=45;agriculture_forestry=20;arts_recreation=16;construction=80;education=65;finance_insurance=33;healthcare_welfare=124;ict=40;manufacturing=180;mining=2;other_services=9;professional=41;public_admin=38;transport_postal=70;utilities=15;wholesale_retail=149
tenro-01,Yū-KitaKita-machi,tenro,0,0,0,0,1,0.0167,0.0466,0.0306,0.0672,0.2386,0.2423,0.3579,0.3766,0,0,4.7034,0.3006,0.151,0,0,0,0.0,0.0481,42.3962,0.199,0.0765,
tenro-02,Shimo-MatsuGin-machi,tenro,0,0,0,0,1,0.0179,0.0478,0.0309,0.0679,0.2408,0.2438,0.3509,0.367,0,0,4.784,0.3015,0.1489,0,0,0,0.0,0.0525,43.8949,0.1979,0.0858,
tenro-03,KiTsuki-machi,tenro,0,0,0,0,1,0.0175,0.0474,0.0308,0.0676,0.24,0.2432,0.3535,0.3706,0,0,4.775,0.3014,0.1492,0,0,0,0.0,0.052,43.7281,0.198,0.0256,
tenro-04,Ko-AshiKumo-machi,tenro,379,76,303,682,303,0.0147,0.0446,0.0302,0.0661,0.2348,0.2399,0.3697,0.393,422,0,4.6491,0.2999,0.1528,91,38,42436.2931,62.2233,0.0451,41.3876,0.1997,0.0453,
tenro-05,Naka-ShiroIshi-machi,tenro,79,16,63,147,63,0.0197,0.0495,0.0313,0.0688,0.2441,0.2459,0.3406,0.3533,93,0,4.7389,0.301,0.1494,19,7,9865.9405,67.1152,0.05,43.0559,0.1985,0.0429,
kamikura-01,MatsuShin-machi,kamikura,0,0,0,0,1,0.0156,0.0455,0.0304,0.0666,0.2366,0.2412,0.364,0.3849,0,0,4.8144,0.3019,0.1489,0,0,0,0.0,0.0541,44.4599,0.1975,0.0874,
